event_id,start_time,end_time,trade_count,total_volume_eth,total_profit,avg_spread,direction,strong_signal_ratio,arbitrage_type
51,2025-12-01 09:00:59+00:00,2025-12-01 09:00:59+00:00,1,1.6800126042529078,1.9108895083050914,10.137425697561866,buy,1.0,"Buy on Uniswap, Sell on Binance"
52,2025-12-01 09:30:23+00:00,2025-12-01 09:30:23+00:00,1,17.74928450163468,1.9904701766218056,9.112143685365936,buy,1.0,"Buy on Uniswap, Sell on Binance"
53,2025-12-01 11:18:23+00:00,2025-12-01 11:18:23+00:00,2,35.3301039200015,103.44437337126999,-13.815289444241898,sell,1.0,"Sell on Uniswap, Buy on Binance"
54,2025-12-01 12:01:59+00:00,2025-12-01 12:01:59+00:00,1,2.8651839912428e-05,4.538514406070704e-06,-9.158402197553187,sell,1.0,"Sell on Uniswap, Buy on Binance"
55,2025-12-01 12:48:35+00:00,2025-12-01 12:48:35+00:00,1,0.198091708627239,0.04768100214016616,-9.240701655160592,sell,1.0,"Sell on Uniswap, Buy on Binance"
56,2025-12-01 12:48:47+00:00,2025-12-01 12:48:47+00:00,1,0.3455128244242684,0.14035172311739044,-9.406212774739288,sell,1.0,"Sell on Uniswap, Buy on Binance"
57,2025-12-01 12:49:59+00:00,2025-12-01 12:49:59+00:00,1,4.723724877437329,32.87794243471795,15.960173017645047,buy,1.0,"Buy on Uniswap, Sell on Binance"
58,2025-12-01 12:50:35+00:00,2025-12-01 12:50:35+00:00,3,9.7155070829082,42.21797594848758,13.149281809863623,buy,0.0,"Buy on Uniswap, Sell on Binance"
59,2025-12-01 12:50:59+00:00,2025-12-01 12:50:59+00:00,3,2.253281515091833,4.204039101680393,10.416403716009123,buy,0.0,"Buy on Uniswap, Sell on Binance"
60,2025-12-01 12:53:11+00:00,2025-12-01 12:53:11+00:00,1,2.8712820126e-08,6.363093320330396e-07,-31.16115760279672,sell,1.0,"Sell on Uniswap, Buy on Binance"
61,2025-12-01 13:01:47+00:00,2025-12-01 13:01:47+00:00,1,1.3401282361436304,0.7953760065633474,9.593507386167857,buy,0.0,"Buy on Uniswap, Sell on Binance"
62,2025-12-01 13:06:35+00:00,2025-12-01 13:06:35+00:00,2,103.00626059404911,3204.304239389655,54.131897980682425,buy,1.0,"Buy on Uniswap, Sell on Binance"
63,2025-12-01 13:11:11+00:00,2025-12-01 13:11:11+00:00,1,2.47512344e-09,9.853887904852007e-07,-407.11702905823586,sell,1.0,"Sell on Uniswap, Buy on Binance"
64,2025-12-01 14:30:59+00:00,2025-12-01 14:30:59+00:00,1,1.942365901493464,6.349229692823869,-12.268812373581113,sell,1.0,"Sell on Uniswap, Buy on Binance"
65,2025-12-01 14:37:35+00:00,2025-12-01 14:37:35+00:00,1,0.8545207687550507,0.1502331179773095,-9.175809791254323,sell,0.0,"Sell on Uniswap, Buy on Binance"
66,2025-12-01 14:38:35+00:00,2025-12-01 14:38:35+00:00,1,3.1509424574936045,0.0012897656669346783,-9.000409326950376,sell,0.0,"Sell on Uniswap, Buy on Binance"
67,2025-12-01 15:14:59+00:00,2025-12-01 15:14:59+00:00,1,0.0001487888123731,0.0020589401913775752,-22.83800407126455,sell,1.0,"Sell on Uniswap, Buy on Binance"
68,2025-12-01 15:15:11+00:00,2025-12-01 15:15:11+00:00,2,0.0835344520483152,0.8925856659891698,-18.97628529395365,sell,1.0,"Sell on Uniswap, Buy on Binance"
69,2025-12-01 15:15:23+00:00,2025-12-01 15:15:23+00:00,1,6.002359667898243,33.974565813704345,-14.660201602947382,sell,0.0,"Sell on Uniswap, Buy on Binance"
70,2025-12-01 15:15:35+00:00,2025-12-01 15:15:35+00:00,1,1.458635292724621,0.9037430855600002,-9.61958125521005,sell,0.0,"Sell on Uniswap, Buy on Binance"
71,2025-12-01 15:15:59+00:00,2025-12-01 15:15:59+00:00,1,23.78836134211179,20.157402828241537,9.847364076001213,buy,0.0,"Buy on Uniswap, Sell on Binance"
72,2025-12-01 15:24:11+00:00,2025-12-01 15:24:11+00:00,1,1.6139838285,1.1990835354109572,-9.742934045705624,sell,0.0,"Sell on Uniswap, Buy on Binance"
73,2025-12-01 15:24:23+00:00,2025-12-01 15:24:23+00:00,1,0.0003187329301072,0.0007426942776230617,-11.330146048521783,sell,0.0,"Sell on Uniswap, Buy on Binance"
74,2025-12-01 15:24:35+00:00,2025-12-01 15:24:35+00:00,1,0.00358585841,0.010122826932541257,-11.82298567737962,sell,0.0,"Sell on Uniswap, Buy on Binance"
75,2025-12-01 15:32:47+00:00,2025-12-01 15:32:47+00:00,1,1.1922724531003472,2.7541712083632772,-11.310018319387837,sell,0.0,"Sell on Uniswap, Buy on Binance"
76,2025-12-01 15:33:47+00:00,2025-12-01 15:33:47+00:00,1,1.6275435165,16.810945580528873,-19.32902986009276,sell,1.0,"Sell on Uniswap, Buy on Binance"
77,2025-12-01 15:36:47+00:00,2025-12-01 15:36:47+00:00,1,3.5756360977244537,0.32218333795978654,-9.090105181051513,sell,0.0,"Sell on Uniswap, Buy on Binance"
78,2025-12-01 15:38:23+00:00,2025-12-01 15:38:23+00:00,2,2.2689686711146333,2.1912123637242567,-10.028901686345534,sell,0.0,"Sell on Uniswap, Buy on Binance"
79,2025-12-01 15:38:35+00:00,2025-12-01 15:38:35+00:00,2,0.2399203765304982,0.678532121406379,-11.929417609916982,sell,0.0,"Sell on Uniswap, Buy on Binance"
80,2025-12-01 15:39:11+00:00,2025-12-01 15:39:11+00:00,1,0.0275051782595521,0.012878988856080438,-9.468238697984361,sell,0.0,"Sell on Uniswap, Buy on Binance"
81,2025-12-01 15:39:47+00:00,2025-12-01 15:39:47+00:00,1,114.34999988982683,3083.1712081750034,35.96258164534811,buy,1.0,"Buy on Uniswap, Sell on Binance"
82,2025-12-01 15:41:47+00:00,2025-12-01 15:41:47+00:00,1,1.5351770460862282,0.4454612636353421,-9.290169309638259,sell,0.0,"Sell on Uniswap, Buy on Binance"
83,2025-12-01 15:41:59+00:00,2025-12-01 15:41:59+00:00,1,1.6938462296833423,2.1935542922129514,-10.295013829338586,sell,0.0,"Sell on Uniswap, Buy on Binance"
84,2025-12-01 15:47:11+00:00,2025-12-01 15:47:11+00:00,1,4.752054168348001,7.113379076666289,10.496906143041542,buy,0.0,"Buy on Uniswap, Sell on Binance"
85,2025-12-01 15:47:23+00:00,2025-12-01 15:47:23+00:00,2,1.6760305870891115,6.2716475614567555,12.910202430741947,buy,0.0,"Buy on Uniswap, Sell on Binance"
86,2025-12-01 15:47:35+00:00,2025-12-01 15:47:35+00:00,2,4.060526890864134,14.93132142105486,12.116930946103821,buy,0.0,"Buy on Uniswap, Sell on Binance"
87,2025-12-01 15:49:35+00:00,2025-12-01 15:49:35+00:00,2,126.15131566148608,5667.145747258545,66.71122482556234,buy,1.0,"Buy on Uniswap, Sell on Binance"
88,2025-12-01 15:49:59+00:00,2025-12-01 15:49:59+00:00,1,0.2043112355864401,0.11316197009693486,9.553870519025168,buy,0.0,"Buy on Uniswap, Sell on Binance"
89,2025-12-01 17:02:35+00:00,2025-12-01 17:02:35+00:00,1,3.2923646665e-08,6.965131072440865e-07,-30.15540584951441,sell,1.0,"Sell on Uniswap, Buy on Binance"
90,2025-12-01 17:44:11+00:00,2025-12-01 17:44:11+00:00,2,115.39224118728814,4837.241498292501,68.02804881984844,buy,1.0,"Buy on Uniswap, Sell on Binance"
91,2025-12-01 19:19:11+00:00,2025-12-01 19:19:11+00:00,2,76.82195157992304,1265.3372182864605,36.74343563249545,buy,1.0,"Buy on Uniswap, Sell on Binance"
92,2025-12-01 19:24:59+00:00,2025-12-01 19:24:59+00:00,2,83.04445098700414,1762.6473530119245,40.47716883004273,buy,1.0,"Buy on Uniswap, Sell on Binance"
93,2025-12-01 19:27:23+00:00,2025-12-01 19:27:23+00:00,2,94.02016777411234,2671.220277870498,52.878160197936495,buy,1.0,"Buy on Uniswap, Sell on Binance"
94,2025-12-01 20:29:47+00:00,2025-12-01 20:29:47+00:00,2,58.01804336094109,925.6387194364636,32.54758252123929,buy,1.0,"Buy on Uniswap, Sell on Binance"
95,2025-12-01 21:19:59+00:00,2025-12-01 21:19:59+00:00,1,0.3762942056142155,0.6890463663387474,10.831137328341356,buy,0.0,"Buy on Uniswap, Sell on Binance"
96,2025-12-01 21:20:35+00:00,2025-12-01 21:20:35+00:00,1,0.0082699999943206,0.043821364242231584,14.29883485759683,buy,1.0,"Buy on Uniswap, Sell on Binance"
97,2025-12-01 22:00:59+00:00,2025-12-01 22:00:59+00:00,1,0.93537803529,1.3135686797985362,10.404318500371119,buy,0.0,"Buy on Uniswap, Sell on Binance"
98,2025-12-01 22:58:59+00:00,2025-12-01 22:58:59+00:00,1,0.0356331545999999,0.0008965882900099912,-9.025161631072933,sell,1.0,"Sell on Uniswap, Buy on Binance"
99,2025-12-01 23:10:11+00:00,2025-12-01 23:10:11+00:00,1,4.984999991909725,11.611857909062959,11.32935966457535,buy,1.0,"Buy on Uniswap, Sell on Binance"
100,2025-12-02 01:07:11+00:00,2025-12-02 01:07:11+00:00,1,4.075293324980596,4.353234428819273,-10.068201496597794,sell,1.0,"Sell on Uniswap, Buy on Binance"
